Category,Rank,Name,PID,CPU%,RAM_Bytes,RAM_MB
TOP_RAM,4,chrome.exe,21060,0,558923776,533.031
TOP_RAM,5,Discord.exe,27004,0,471265280,449.434
TOP_CPU,1,RustClient.exe,26876,34.1856,6710837248,6399.95
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.378788,78184448,74.5625
TOP_CPU,3,NVIDIA Overlay.exe,13772,0.378788,201166848,191.848
TOP_CPU,4,steam.exe,24952,0.189394,84680704,80.7578
TOP_CPU,5,gameoverlayui64.exe,23988,0.189394,40771584,38.8828
TOP_RAM,1,RustClient.exe,26876,34.1856,6710837248,6399.95
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0.189394,656904192,626.473
TOP_RAM,4,chrome.exe,21060,0,558923776,533.031
TOP_RAM,5,Discord.exe,27004,0.094697,471265280,449.434
TOP_CPU,1,RustClient.exe,26876,33.3022,6710857728,6399.97
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.466418,78184448,74.5625
TOP_CPU,3,Code.exe,5260,0.186567,233783296,222.953
TOP_CPU,4,Discord.exe,27004,0.186567,471281664,449.449
TOP_CPU,5,SteelSeriesSonar.exe,13184,0.0932836,169398272,161.551
TOP_RAM,1,RustClient.exe,26876,33.3022,6710857728,6399.97
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,656904192,626.473
TOP_RAM,4,chrome.exe,21060,0,558923776,533.031
TOP_RAM,5,Discord.exe,27004,0.186567,471281664,449.449
TOP_CPU,1,RustClient.exe,26876,33.6174,6711136256,6400.24
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.662879,78184448,74.5625
TOP_CPU,3,Code.exe,15256,0.189394,422707200,403.125
TOP_CPU,4,explorer.exe,11496,0.189394,280834048,267.824
TOP_CPU,5,Code.exe,5260,0.189394,233463808,222.648
TOP_RAM,1,RustClient.exe,26876,33.6174,6711136256,6400.24
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,657174528,626.73
TOP_RAM,4,chrome.exe,21060,0,558923776,533.031
TOP_RAM,5,Discord.exe,27004,0,471281664,449.449
TOP_CPU,1,RustClient.exe,26876,40.3846,6711275520,6400.37
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.384615,78184448,74.5625
TOP_CPU,3,Code.exe,15256,0.384615,421629952,402.098
TOP_CPU,4,Code.exe,5260,0.288462,233873408,223.039
TOP_CPU,5,NVIDIA Overlay.exe,20308,0.0961538,112926720,107.695
TOP_RAM,1,RustClient.exe,26876,40.3846,6711275520,6400.37
TOP_RAM,2,chrome.exe,23204,0.0961538,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0.0961538,657174528,626.73
TOP_RAM,4,chrome.exe,21060,0,558923776,533.031
TOP_RAM,5,Discord.exe,27004,0,471281664,449.449
TOP_CPU,1,RustClient.exe,26876,35.4478,6711545856,6400.63
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.746269,78708736,75.0625
TOP_CPU,3,Code.exe,5260,0.466418,234467328,223.605
TOP_CPU,4,Code.exe,15256,0.186567,422211584,402.652
TOP_CPU,5,Code.exe,24444,0.0932836,264867840,252.598
TOP_RAM,1,RustClient.exe,26876,35.4478,6711545856,6400.63
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,657174528,626.73
TOP_RAM,4,chrome.exe,21060,0,558923776,533.031
TOP_RAM,5,Discord.exe,27004,0,471281664,449.449
TOP_CPU,1,RustClient.exe,26876,41.0038,6711599104,6400.68
TOP_CPU,2,Code.exe,5260,0.284091,235565056,224.652
TOP_CPU,3,Code.exe,15256,0.094697,422408192,402.84
TOP_CPU,4,steam.exe,24952,0.094697,84688896,80.7656
TOP_CPU,5,chrome.exe,21060,0.094697,559124480,533.223
TOP_RAM,1,RustClient.exe,26876,41.0038,6711599104,6400.68
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,657174528,626.73
TOP_RAM,4,chrome.exe,21060,0.094697,559124480,533.223
TOP_RAM,5,Discord.exe,27004,0.094697,471158784,449.332
TOP_CPU,1,RustClient.exe,26876,40.2985,6709309440,6398.5
TOP_CPU,2,Code.exe,15256,0.652985,422666240,403.086
TOP_CPU,3,Code.exe,24444,0.466418,264663040,252.402
TOP_CPU,4,SteelSeriesEngine.exe,24284,0.279851,78802944,75.1523
TOP_CPU,5,Code.exe,5260,0.186567,234373120,223.516
TOP_RAM,1,RustClient.exe,26876,40.2985,6709309440,6398.5
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,657174528,626.73
TOP_RAM,4,chrome.exe,21060,0,559124480,533.223
TOP_RAM,5,Discord.exe,27004,0.186567,471597056,449.75
TOP_CPU,1,RustClient.exe,26876,33.6174,6707732480,6396.99
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.473485,78913536,75.2578
TOP_CPU,3,Code.exe,15256,0.189394,422547456,402.973
TOP_CPU,4,Code.exe,24444,0.094697,264519680,252.266
TOP_CPU,5,lghub_agent.exe,25468,0.094697,77426688,73.8398
TOP_RAM,1,RustClient.exe,26876,33.6174,6707732480,6396.99
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,657711104,627.242
TOP_RAM,4,chrome.exe,21060,0,559124480,533.223
TOP_RAM,5,Discord.exe,27004,0,471658496,449.809
TOP_CPU,1,RustClient.exe,26876,37.8788,6707757056,6397.02
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.189394,78917632,75.2617
TOP_CPU,3,Code.exe,5260,0.189394,234958848,224.074
TOP_CPU,4,Code.exe,15256,0.189394,422891520,403.301
TOP_CPU,5,SteelSeriesSonar.exe,13184,0.094697,169480192,161.629
TOP_RAM,1,RustClient.exe,26876,37.8788,6707757056,6397.02
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,657711104,627.242
TOP_RAM,4,chrome.exe,21060,0,559124480,533.223
TOP_RAM,5,Discord.exe,27004,0.094697,471658496,449.809
TOP_CPU,1,RustClient.exe,26876,37.3134,6709796864,6398.96
TOP_CPU,2,Code.exe,5260,0.373134,234999808,224.113
TOP_CPU,3,Code.exe,15256,0.279851,423043072,403.445
TOP_CPU,4,SteelSeriesEngine.exe,24284,0.186567,78917632,75.2617
TOP_CPU,5,NVIDIA Overlay.exe,20308,0.186567,113033216,107.797
TOP_RAM,1,RustClient.exe,26876,37.3134,6709796864,6398.96
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,657711104,627.242
TOP_RAM,4,chrome.exe,21060,0,559128576,533.227
TOP_RAM,5,Discord.exe,27004,0.0932836,471728128,449.875
TOP_CPU,1,RustClient.exe,26876,36.0795,6712971264,6401.99
TOP_CPU,2,steam.exe,24952,0.378788,84688896,80.7656
TOP_CPU,3,SteelSeriesEngine.exe,24284,0.284091,78917632,75.2617
TOP_CPU,4,SteelSeriesSonar.exe,13184,0.284091,169496576,161.645
TOP_CPU,5,Discord.exe,27004,0.284091,471744512,449.891
TOP_RAM,1,RustClient.exe,26876,36.0795,6712971264,6401.99
TOP_RAM,2,chrome.exe,23204,0.189394,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0.094697,656297984,625.895
TOP_RAM,4,chrome.exe,21060,0,559128576,533.227
TOP_RAM,5,Discord.exe,27004,0.284091,471744512,449.891
TOP_CPU,1,RustClient.exe,26876,35.8209,6712954880,6401.97
TOP_CPU,2,Code.exe,15256,0.186567,423055360,403.457
TOP_CPU,3,Code.exe,5260,0.186567,234848256,223.969
TOP_CPU,4,SteelSeriesEngine.exe,24284,0.0932836,79028224,75.3672
TOP_CPU,5,StreamDeck.exe,31648,0.0932836,155721728,148.508
TOP_RAM,1,RustClient.exe,26876,35.8209,6712954880,6401.97
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,653811712,623.523
TOP_RAM,4,chrome.exe,21060,0,559128576,533.227
TOP_RAM,5,Discord.exe,27004,0.0932836,471744512,449.891
TOP_CPU,1,RustClient.exe,26876,40.5303,6714527744,6403.47
TOP_CPU,2,NVIDIA Overlay.exe,16576,0.094697,76451840,72.9102
TOP_CPU,3,SteelSeriesEngine.exe,24284,0.094697,79028224,75.3672
TOP_CPU,4,Code.exe,15256,0.094697,424271872,404.617
TOP_CPU,5,Code.exe,5260,0.094697,235094016,224.203
TOP_RAM,1,RustClient.exe,26876,40.5303,6714527744,6403.47
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0.094697,653811712,623.523
TOP_RAM,4,chrome.exe,21060,0,559128576,533.227
TOP_RAM,5,Discord.exe,27004,0.094697,471281664,449.449
TOP_CPU,1,RustClient.exe,26876,35.2273,6713909248,6402.88
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.284091,79220736,75.5508
TOP_CPU,3,Code.exe,5260,0.284091,235724800,224.805
TOP_CPU,4,Code.exe,15256,0.094697,424763392,405.086
TOP_CPU,5,CTMsgHostChrome.exe,18620,0,31240192,29.793
TOP_RAM,1,RustClient.exe,26876,35.2273,6713909248,6402.88
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,653811712,623.523
TOP_RAM,4,chrome.exe,21060,0,559128576,533.227
TOP_RAM,5,Discord.exe,27004,0,471281664,449.449
TOP_CPU,1,RustClient.exe,26876,32.6923,6714081280,6403.05
TOP_CPU,2,StreamDeck.exe,31648,0.480769,155742208,148.527
TOP_CPU,3,lghub_system_tray.exe,25388,0.192308,68091904,64.9375
TOP_CPU,4,NVIDIA Overlay.exe,16576,0.192308,76439552,72.8984
TOP_CPU,5,Code.exe,5816,0.192308,226455552,215.965
TOP_RAM,1,RustClient.exe,26876,32.6923,6714081280,6403.05
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0.0961538,653811712,623.523
TOP_RAM,4,chrome.exe,21060,0,559128576,533.227
TOP_RAM,5,Discord.exe,27004,0.0961538,471302144,449.469
TOP_CPU,1,RustClient.exe,26876,40.5303,6714097664,6403.06
TOP_CPU,2,Code.exe,5260,0.378788,234975232,224.09
TOP_CPU,3,Code.exe,15256,0.284091,425242624,405.543
TOP_CPU,4,SteelSeriesEngine.exe,24284,0.189394,79220736,75.5508
TOP_CPU,5,StreamDeck.exe,31648,0.094697,155742208,148.527
TOP_RAM,1,RustClient.exe,26876,40.5303,6714097664,6403.06
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0.094697,654200832,623.895
TOP_RAM,4,chrome.exe,21060,0,559128576,533.227
TOP_RAM,5,Discord.exe,27004,0,471302144,449.469
TOP_CPU,1,RustClient.exe,26876,42.1402,6710910976,6400.02
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.284091,79220736,75.5508
TOP_CPU,3,Code.exe,15248,0.284091,284590080,271.406
TOP_CPU,4,Discord.exe,27004,0.189394,471302144,449.469
TOP_CPU,5,Codex.exe,23976,0.094697,321773568,306.867
TOP_RAM,1,RustClient.exe,26876,42.1402,6710910976,6400.02
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0,656838656,626.41
TOP_RAM,4,chrome.exe,21060,0,559128576,533.227
TOP_RAM,5,Discord.exe,27004,0.189394,471302144,449.469
TOP_CPU,1,RustClient.exe,26876,36.553,6709342208,6398.53
TOP_CPU,2,Code.exe,5260,0.284091,235286528,224.387
TOP_CPU,3,NVIDIA Overlay.exe,16576,0.189394,76451840,72.9102
TOP_CPU,4,steam.exe,24952,0.189394,84688896,80.7656
TOP_CPU,5,Code.exe,15256,0.189394,426393600,406.641
TOP_RAM,1,RustClient.exe,26876,36.553,6709342208,6398.53
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0.094697,656838656,626.41
TOP_RAM,4,chrome.exe,21060,0,559128576,533.227
TOP_RAM,5,Discord.exe,27004,0.094697,471261184,449.43
TOP_CPU,1,RustClient.exe,26876,35.6061,6709350400,6398.54
TOP_CPU,2,Code.exe,15256,0.284091,426811392,407.039
TOP_CPU,3,SteelSeriesSonar.exe,13184,0.189394,169582592,161.727
TOP_CPU,4,Code.exe,5260,0.189394,234950656,224.066
TOP_CPU,5,Discord.exe,27004,0.189394,471302144,449.469
TOP_RAM,1,RustClient.exe,26876,35.6061,6709350400,6398.54
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0.094697,656838656,626.41
TOP_RAM,4,chrome.exe,21060,0,559128576,533.227
TOP_RAM,5,Discord.exe,27004,0.189394,471302144,449.469
TOP_CPU,1,RustClient.exe,26876,37.3134,6709395456,6398.58
TOP_CPU,2,Code.exe,5260,0.373134,235929600,225
TOP_CPU,3,SteelSeriesEngine.exe,24284,0.279851,79282176,75.6094
TOP_CPU,4,Code.exe,15256,0.186567,427003904,407.223
TOP_CPU,5,NVIDIA Overlay.exe,13772,0.0932836,201334784,192.008
TOP_RAM,1,RustClient.exe,26876,37.3134,6709395456,6398.58
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0.0932836,656838656,626.41
TOP_RAM,4,chrome.exe,21060,0,557813760,531.973
TOP_RAM,5,Discord.exe,27004,0.0932836,471302144,449.469
TOP_CPU,1,RustClient.exe,26876,35.6061,6712569856,6401.61
TOP_CPU,2,chrome.exe,34464,3.69318,180490240,172.129
TOP_CPU,3,chrome.exe,16512,0.568182,356761600,340.234
TOP_CPU,4,SteelSeriesEngine.exe,24284,0.378788,79282176,75.6094
TOP_CPU,5,Code.exe,15256,0.284091,427962368,408.137
TOP_RAM,1,RustClient.exe,26876,35.6061,6712569856,6401.61
TOP_RAM,2,chrome.exe,23204,0,1168486400,1114.36
TOP_RAM,3,chrome.exe,35420,0.094697,656838656,626.41
TOP_RAM,4,chrome.exe,21060,0,557813760,531.973
TOP_RAM,5,Discord.exe,27004,0.189394,471302144,449.469
TOP_CPU,1,RustClient.exe,26876,35.541,6712590336,6401.62
TOP_CPU,2,chrome.exe,34464,6.99627,229851136,219.203
TOP_CPU,3,SteelSeriesEngine.exe,24284,1.21269,79351808,75.6758
TOP_CPU,4,chrome.exe,16512,0.466418,347766784,331.656
TOP_CPU,5,Code.exe,5260,0.279851,235163648,224.27
TOP_RAM,1,RustClient.exe,26876,35.541,6712590336,6401.62
TOP_RAM,2,chrome.exe,23204,0,1168490496,1114.36
TOP_RAM,3,chrome.exe,35420,0.186567,658427904,627.926
TOP_RAM,4,chrome.exe,21060,0,557813760,531.973
TOP_RAM,5,Discord.exe,27004,0.0932836,471302144,449.469
TOP_CPU,1,RustClient.exe,26876,39.5833,6712623104,6401.66
TOP_CPU,2,chrome.exe,34464,2.08333,441958400,421.484
TOP_CPU,3,SteelSeriesEngine.exe,24284,0.568182,79351808,75.6758
TOP_CPU,4,steam.exe,24952,0.284091,84688896,80.7656
TOP_CPU,5,gameoverlayui64.exe,23988,0.189394,40771584,38.8828
TOP_RAM,1,RustClient.exe,26876,39.5833,6712623104,6401.66
TOP_RAM,2,chrome.exe,23204,0,1168490496,1114.36
TOP_RAM,3,chrome.exe,35420,0,658427904,627.926
TOP_RAM,4,chrome.exe,21060,0,557813760,531.973
TOP_RAM,5,Discord.exe,27004,0.094697,471302144,449.469
TOP_CPU,1,RustClient.exe,26876,36.3806,6712647680,6401.68
TOP_CPU,2,chrome.exe,34464,0.652985,219832320,209.648
TOP_CPU,3,Code.exe,5260,0.373134,235560960,224.648
TOP_CPU,4,SteelSeriesEngine.exe,24284,0.186567,79450112,75.7695
TOP_CPU,5,chrome.exe,16512,0.186567,347820032,331.707
TOP_RAM,1,RustClient.exe,26876,36.3806,6712647680,6401.68
TOP_RAM,2,chrome.exe,23204,0,1168490496,1114.36
TOP_RAM,3,chrome.exe,35420,0,658427904,627.926
TOP_RAM,4,chrome.exe,21060,0,557813760,531.973
TOP_RAM,5,Discord.exe,27004,0,471302144,449.469
TOP_CPU,1,RustClient.exe,26876,33.3955,6712705024,6401.73
TOP_CPU,2,Code.exe,15248,0.186567,284622848,271.438
TOP_CPU,3,SteelSeriesEngine.exe,24284,0.0932836,77819904,74.2148
TOP_CPU,4,Code.exe,15256,0.0932836,429903872,409.988
TOP_CPU,5,chrome.exe,29548,0,299003904,285.152
TOP_RAM,1,RustClient.exe,26876,33.3955,6712705024,6401.73
TOP_RAM,2,chrome.exe,23204,0,1168490496,1114.36
TOP_RAM,3,chrome.exe,35420,0,658427904,627.926
TOP_RAM,4,chrome.exe,21060,0,557813760,531.973
TOP_RAM,5,Discord.exe,27004,0,471236608,449.406
TOP_CPU,1,RustClient.exe,26876,35.6061,6713188352,6402.2
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.284091,77824000,74.2188
TOP_CPU,3,Discord.exe,27004,0.094697,471662592,449.812
TOP_CPU,4,CTMsgHostChrome.exe,18620,0,31240192,29.793
TOP_CPU,5,chrome.exe,28920,0,272973824,260.328
TOP_RAM,1,RustClient.exe,26876,35.6061,6713188352,6402.2
TOP_RAM,2,chrome.exe,23204,0,1168490496,1114.36
TOP_RAM,3,chrome.exe,35420,0,658427904,627.926
TOP_RAM,4,chrome.exe,21060,0,557813760,531.973
TOP_RAM,5,Discord.exe,27004,0.094697,471662592,449.812
TOP_CPU,1,RustClient.exe,26876,40.3409,6711111680,6400.21
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.568182,77824000,74.2188
TOP_CPU,3,Discord.exe,27004,0.473485,471662592,449.812
TOP_CPU,4,Code.exe,15256,0.378788,431267840,411.289
TOP_CPU,5,chrome.exe,35420,0.284091,658993152,628.465
TOP_RAM,1,RustClient.exe,26876,40.3409,6711111680,6400.21
TOP_RAM,2,chrome.exe,23204,0,1168490496,1114.36
TOP_RAM,3,chrome.exe,35420,0.284091,658993152,628.465
TOP_RAM,4,chrome.exe,21060,0,557813760,531.973
TOP_RAM,5,Discord.exe,27004,0.473485,471662592,449.812
TOP_CPU,1,RustClient.exe,26876,40.0568,6711148544,6400.25
TOP_CPU,2,chrome.exe,35420,0.189394,658993152,628.465
TOP_CPU,3,Code.exe,5260,0.094697,236138496,225.199
TOP_CPU,4,steam.exe,24952,0.094697,84688896,80.7656
TOP_CPU,5,CTMsgHostChrome.exe,18620,0,31240192,29.793
TOP_RAM,1,RustClient.exe,26876,40.0568,6711148544,6400.25
TOP_RAM,2,chrome.exe,23204,0,1168490496,1114.36
TOP_RAM,3,chrome.exe,35420,0.189394,658993152,628.465
TOP_RAM,4,chrome.exe,21060,0,557813760,531.973
TOP_RAM,5,Discord.exe,27004,0,471670784,449.82
TOP_CPU,1,RustClient.exe,26876,37.2159,6711283712,6400.38
TOP_CPU,2,SteelSeriesEngine.exe,24284,1.04167,77824000,74.2188
TOP_CPU,3,Code.exe,15256,0.378788,431906816,411.898
TOP_CPU,4,Code.exe,5260,0.189394,236204032,225.262
TOP_CPU,5,NVIDIA Overlay.exe,20308,0.094697,113172480,107.93
TOP_RAM,1,RustClient.exe,26876,37.2159,6711283712,6400.38
TOP_RAM,2,chrome.exe,23204,0,1168490496,1114.36
TOP_RAM,3,chrome.exe,35420,0,658993152,628.465
TOP_RAM,4,chrome.exe,21060,0,557879296,532.035
TOP_RAM,5,Discord.exe,27004,0,471670784,449.82
TOP_CPU,1,RustClient.exe,26876,36.8269,6712553472,6401.59
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.288462,77824000,74.2188
TOP_CPU,3,Code.exe,5260,0.288462,235962368,225.031
TOP_CPU,4,lghub_system_tray.exe,25388,0.192308,68091904,64.9375
TOP_CPU,5,Code.exe,15256,0.192308,432365568,412.336
TOP_RAM,1,RustClient.exe,26876,36.8269,6712553472,6401.59
TOP_RAM,2,chrome.exe,23204,0,1168490496,1114.36
TOP_RAM,3,chrome.exe,35420,0,658993152,628.465
TOP_RAM,4,chrome.exe,21060,0,557879296,532.035
TOP_RAM,5,Discord.exe,27004,0.0961538,471670784,449.82
TOP_CPU,1,RustClient.exe,26876,38.4328,6712745984,6401.77
TOP_CPU,2,Code.exe,5260,0.279851,236158976,225.219
TOP_CPU,3,SteelSeriesEngine.exe,24284,0.186567,77824000,74.2188
TOP_CPU,4,Code.exe,15256,0.186567,433278976,413.207
TOP_CPU,5,Discord.exe,27004,0.186567,471285760,449.453
TOP_RAM,1,RustClient.exe,26876,38.4328,6712745984,6401.77
TOP_RAM,2,chrome.exe,23204,0,1168490496,1114.36
TOP_RAM,3,chrome.exe,35420,0,658993152,628.465
TOP_RAM,4,chrome.exe,21060,0,557879296,532.035
TOP_RAM,5,Discord.exe,27004,0.186567,471285760,449.453
TOP_CPU,1,RustClient.exe,26876,39.2992,6712782848,6401.81
TOP_CPU,2,SteelSeriesEngine.exe,24284,0.473485,77824000,74.2188
TOP_CPU,3,gameoverlayui64.exe,23988,0.284091,40771584,38.8828
TOP_CPU,4,SteelSeriesSonar.exe,13184,0.284091,169803776,161.938
TOP_CPU,5,chrome.exe,16512,0.284091,347566080,331.465
